Business Name,Building,Workers,Category,Information
FutureAir,"BLDG 128 STE ?, Brooklyn Navy Yard 11205",0,,"Industry: Manufacturers & Distributors, Sub Industry: Hardware, Software, & Design Engineering"
G&E Multimedia LLC,"BLDG 77 STE 1211, Brooklyn Navy Yard 11205",1,Creative Office & Media,"Industry: Services, Artists, & Designers, Sub Industry: Creative Office & Media"
Gaetano Pesce,,1,,"Principal of the tenant company noted has passed away and the lease is therefore terminated according to the Termination Clause in the lease amendment. Termination date has changed from 3/31/2024 to 5/31/2024

Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography"
Gallery KBNY aka Gallery Restoration,"BLDG 212 STE 301, Brooklyn Navy Yard 11205",3,Contracting & Construction,"Renovation, Residential, Project Management, Design-Build"
Gather,,0,,
Gather Agriculture,,1,Architecture & Design,
GBM Bulk Logistics LLC aka GBM Bulk Transport,"BLDG 131, STE 3E, 3X",1,Transportation,Cement Transport
"GBS Supplies, Inc. aka EZ Sewing","BLDG 3, STE 309, Brooklyn Navy Yard",1,Apparel & Accessory,Industrial Sewing Machine parts and supply
gCreate LLC,,0,,
Gedi Sibony aka the Toothfinder,"BLDG 292 STE 323, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Sculpture, Painting, High Profile"
General Trademark,"BLDG 77 STE 1019C, Brooklyn NY",2,Fabrication & Custom Installation (Wood & Metal),Light manufacturing
George Laws Weinberg,"BLDG 77 STE 1011a, Brooklyn Navy Yard 11205",1,Fine Art & Photography,Mixed Media
Getty Advance,"BLDG 77 STE 1308, Brooklyn Navy Yard 11205",0,,"Industry: Services, Artists, & Designers, Sub Industry: Other (Mostly Professional Services)"
Gevalia Mikayla Reece,"BLDG 77, STE 1123, Brooklyn Navy Yard",1,Apparel & Accessory,Selling luxury clothing items
GFD Courier Corporation,"BLDG 292 STE 405, 407, Brooklyn Navy Yard 11205",3,Other / Professional Services,Courier Service
Giacomo Beletti,"BLDG 131, STE 3A",1,Creative Office & Media,Cinematographer
Giant Town Productions,"BLDG 292 STE 301a, Brooklyn Navy Yard 11205",1,Creative Office & Media,Production Talent - Production Manager
Giraffe Financial,,1,"""Hardware, Software, & Design Engineering""","Giraffe delivers end-to-end Inflation Reduction Act (""IRA"") tax credit services for taxable and tax-exempt organizations. "
Glenn Ligon Studio aka GKL Studio,"BLDG 212, STE 309",3,Fine Art & Photography,"Sculpture, Installation, Video, Painting, High-Profile"
Globus Cork,,0,,
GMD Enterprises Corp,"BLDG Dry Docks 1,3-6; Pier D STE Dry Docks 1,3-6; Pier D, Brooklyn Navy Yard 11205",40,Transportation,"Ship Repair, Dry Docking, High volume of on-site custom fixture manufacturing"
Go Locker,BLDG 77 (WILL CONFIRM SUITE),3,Other / Professional Services,GoLocker: On demand shipping and package tracking service and lockbox
Gradient,"BLDG 128, STE n/a Newlab",5,Other / Professional Services,Heat Pumps
Greg Chann,"BLDG 5, STE 302",1,Fine Art & Photography,Sculpture
Ground Cloth aka Louisa Thompson,"BLDG 3 STE 314, Brooklyn Navy Yard 11205",1,,"Industry: Manufacturers & Distributors, Sub Industry: Creative Office & Media"
Guilad Office of Design dba Good Office of Design,"BLDG 280 STE 815, Brooklyn Navy Yard 11205",3,Furniture & Home Goods,"Ceramic home goods, Industrial Materials Design Resarch Studio, Sustainable"
Gus Powell aka Sunny Sixteen,"BLDG 280 STE 823, Brooklyn Navy Yard 11205",2,Fine Art & Photography,"Photography, Commercial Art, Fashion, Commercial Director"
Gush aka Social Predictions,"BLDG 77 STE 1109, Brooklyn Navy Yard 11205",1,Creative Office & Media,"Short Content Creator, Event and Creative Production Company"
Gynzy,"Former address: BLDG 77 STE 1302, Brooklyn Navy Yard 11205",1,,"Industry: Manufacturers & Distributors, Sub Industry: Hardware, Software, & Design Engineering"
Haddads Inc,"BLDG Kent Ave Lot STE Kent Ave Lot, Brooklyn Navy Yard 11205",0,,"Industry: Services, Artists, & Designers, Sub Industry: Creative Office & Media"
Haining Made LLC,"BLDG 6, STE 501",1,Furniture & Home Goods,"Woodworking, Lighting, Objects, Small Furniture"
Hans Neumann,"BLDG 280 STE 608, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Photography, Commercial Art"
Haptic Lab,"BLDG 212 STE 404, Brooklyn Navy Yard 11205",1,Furniture & Home Goods,"Soft Goods, Textiles, Quilts, B Corp, E-commerce Retail"
Hatzolah Incorporated,"BLDG 77 Roof STE Roof, Brooklyn Navy Yard 11205",0,,"Industry: Services, Artists, & Designers, Sub Industry: Other (Mostly Professional Services)"
Headwater Contracting,"BLDG 30 STE 103, Brooklyn Navy Yard 11205",3,Contracting & Construction,General Contracting
Heather Rowe Studio,"BLDG 131 STE 3K, Brooklyn Navy Yard 11205",2,Fine Art & Photography,"Sculpture, Installation"
Hell Yes Design Studio,"BLDG 77 STE ?, Brooklyn Navy Yard 11205",1,,"Industry: Services, Artists, & Designers, Sub Industry: Creative Office & Media"
Herrera Print,"BLDG 77, STE 1022",1,Other / Professional Services,Unknown
HGXDESIGN,"BLDG 77, STE 1303, Brooklyn Navy Yard",1,Architecture & Design,"Architect, Residential, Commercial"
Hip Hop Closet,"BLDG 77 STE 607, Brooklyn Navy Yard 11205",3,Apparel & Accessory,"Clothing, Streetwear, Small Goods, Footwear, makes and/or finishes some products (sheepskin coats) on site, majority of business is distribution, E-commerce Retail"
HITN Inc.,"BLDG 292 STE 108, 202, 211, 301, 405A, 412B, Outdoor 1, Outdoor 2, Roof1, Brooklyn Navy Yard 11205",5,Education & Nonprofit,"Educational TV Programming Distribution, Broadcast Network (1-2 local news shows filmed in-studio), Community and Education programs"
Hodge Inc,"BLDG 128, STE n/a Newlab",0,Other / Professional Services,Food Waste Recycling
Hollow Metal Factory Outlet Inc dba Doormart USA,"BLDG 500 STE ?, Brooklyn Navy Yard 11205",0,Furniture & Home Goods,Door Distributor
Home Record LLC aka Homer,"BLDG 212, STE 306, Brooklyn Navy Yard",6,Apparel & Accessory,"Jewelry, Luxury, Artificial Diamonds, +Design"
Homeio LLC,"BLDG 303, STE 708, Brooklyn Navy Yard",3,Beauty & Personal Care,Dietary Supplements
Honeybee Robotics,"BLDG 128, STE n/a Newlab",0,Advanced Manufacturing,"Industry: Manufacturers & Distributors, Sub Industry: Hardware, Software, & Design Engineering"
Hospitality Openings,"BLDG 292 STE 404, 406, Brooklyn Navy Yard 11205",8,Furniture & Home Goods,Supplier of Hotel Doors and Entryway Hardware
Hub Woodworks,"BLDG 120 STE 210, 211, Brooklyn Navy Yard 11205",1,Fabrication & Custom Installation (Wood & Metal),"Woodworking, Cabinetry"
Hungry House,"BLDG 77 STE Ground Fl, Brooklyn Navy Yard 11205",5,Food & Beverage,"Ghost Kitchen, Featured Chefs, The Market @77, Food Service Only"
Hunter Roberts Construction Group,"55 Water Street
51st Floor
New York NY 10041",4,Contracting & Construction,"Not a yard tenant, Construction Group BNYDC is partnering with for the Wayfinding Project. Learn more here - https://www.hrcg.com/services/ "
HUSH Studios,"BLDG 77 STE 602, Brooklyn Navy Yard 11205",4,"""Hardware, Software, & Design Engineering""","Experience Design, Interactive, Art Direction, Brand Development, Creative Production Company, UI/UX, Software Development"
HXGDESIGN LLC,"BLDG 77 STE 1303, Brooklyn Navy Yard 11205",0,,"Industry: Services, Artists, & Designers, Sub Industry: Architecture & Design"
Hyesu Lee Illustration,"BLDG 62 STE 207a, Brooklyn Navy Yard 11205",2,Fine Art & Photography,"Illustration, Comic Artist"
IA Construction Management ,"BLDG 280 STE 804, Brooklyn Navy Yard 11205",8,Contracting & Construction,"General Contracting, Construction Management, Some Operations/Fabrication at the Yard"
IAfford NY LLC,"Former address: BLDG 77 STE 1315, Brooklyn Navy Yard 11205",1,,"Sublease terminated in November 2024. 

Industry: Manufacturers & Distributors, Sub Industry: Hardware, Software, & Design Engineering"
Ian Salter Studios (Navy Studio Member),"BLDG 50A STE 101A, Brooklyn Navy Yard 11205",0,,"Industry: Services, Artists, & Designers, Sub Industry: Creative Office & Media"
IceStone,,5,,
Ilana Kohn,,0,,"Industry: Manufacturers & Distributors, Sub Industry: Apparel & Accessory

Tenant noted has executed a Surrender Agreement in May 2024."
In Situ Design,"BLDG 77, STE 1011, Brooklyn Navy Yard",2,Architecture & Design,Interior Design
Indulgence-Lab,"BLDG 275 STE 406, Brooklyn Navy Yard 11205",8,,"Industry: Manufacturers & Distributors, Sub Industry: Creative Office & Media"
"Integrated Conservation Resources, Inc.","BLDG 303, STE 606, Brooklyn Navy Yard",9,Architecture & Design,"Architect, Cultural Sites, Renovation, Historical Preservation"
Integrity Electronics,"Former address: BLDG 280 STE 605, Brooklyn Navy Yard 11205",1,,"Industry: Manufacturers & Distributors, Sub Industry: Hardware, Software, & Design Engineering

Sublease terminated in July 2024."
IP Woodwork aka Palo Samko,"BLDG 3 STE 1104, Brooklyn Navy Yard 11205",3,Furniture & Home Goods,Wood Furniture
it'selectric,"BLDG 128, PSPACE7 (Yardlabs) , STE ",2,Power & Energy,EV curbside charger; Yard Labs pilot
Ivy Haldeman,"BLDG 280 STE ?, Brooklyn Navy Yard 11205",1,Fine Art & Photography,Painting
J Gordon Painted Finishes,"BLDG 131 STE 201, Brooklyn Navy Yard 11205",1,Contracting & Construction,Residential Professional Painting
Jack Herzog Art,"BLDG 77 STE 1019 C, Brooklyn Navy Yard 11205",1,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography"
Jackie Meier Studio,"BLDG 131 STE 3R, Brooklyn Navy Yard 11205",1,Fine Art & Photography,Painting
Jalapa Jar,"BLDG 77 STE Ground Fl, S 409, Brooklyn Navy Yard 11205",6,Food & Beverage,"Salsa, The Market @ 77, Food Service - Tex Mex, Catering, E-commerce Retail"
Jan P Joachim PC aka Joachim Realty LLC,"BLDG 77 STE 1133, 1134, Brooklyn Navy Yard 11205",1,Other / Professional Services,"Attorney, Canada-US Immigration and Real Estate Specialist"
Jarel Phifer,"BLDG 77, STE 1037",1,Fine Art & Photography,Musician?
Jasco Designs aka Lily Nily,"BLDG 292, STE 327, 328, 329, 330, 331, 332, Brooklyn Navy Yard",7,Apparel & Accessory,"Jewelry, E-commerce Retail"
Jason Krugman Studio,"BLDG 212 STE 201A, Brooklyn Navy Yard 11205",4,Fine Art & Photography,"Sculpture, Lighting"
JayDee Group USA Inc.,"BLDG 292, STE 413, Brooklyn Navy Yard",4,Apparel & Accessory,"Specialty, Construction & Safety Gear & Supplies"
JC CANCEDDA PHOTOGRAPHY,"BLDG 5 STE 210, Brooklyn Navy Yard 11205",1,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography"
Jeeves of New York,"BLDG 303, STE 608, Brooklyn Navy Yard",1,Apparel & Accessory,"Dry Cleaning, Tailoring"
JJ Snyder Studio,BLDG 275 STE 205,1,Fine Art & Photography,Interior finishes and murals
JK Practice,"BLDG 77 STE 1316, 1333, Brooklyn Navy Yard 11205",1,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography

Lease terminated in August 2024."
JMFW Printing,"BLDG 77, STE 507",1,Printing & Engraving,"Printing, Graphic Design, Printing Services - Large format, digital, uniform, apparel & bags, construction blueprint"
JMS Services NY inc aka Brovvers,"BLDG 3 STE 102, Brooklyn Navy Yard 11205",0,,"Industry: Services, Artists, & Designers, Sub Industry: Other (Mostly Professional Services)"
JNC International,BLDG 3 STE 703,5,Food & Beverage,Snack packaging and distribution.
Joe Andoe,"BLDG 3 STE 309, Brooklyn Navy Yard 11205",0,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography"
Joe Bradley Studio,"BLDG 5 STE 204, Brooklyn Navy Yard 11205",2,Fine Art & Photography,"Painting, Commercial Art "
Joel D Bernat,"BLDG 77 STE 1119, Brooklyn Navy Yard 11205",1,Other / Professional Services,"Industry: Manufacturers & Distributors, Sub Industry: Transportation"
Joel Longenecker (& Carleen Sheehan),"Building 30, Suite 202",1,Fine Art & Photography,Painting
John Clement Studio,"BLDG 3 STE 206, Brooklyn Navy Yard 11205",1,Fine Art & Photography,Sculpture
John McDevitt King Studio,"BLDG 120 STE 207, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Painting, Printmaking, Gemology"
John Shorb,,1,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography"
Jon Besch,"BLDG 275 STE 209, Brooklyn Navy Yard 11205",1,,"Industry: Manufacturers & Distributors, Sub Industry: Fabrication & Custom Installation (Wood & Metal)"
Jon Black aka A+,"BLDG 77 STE 1210, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Architecturally informed Sound Artist, Audio"
Jon Levy-Warren,"BLDG 30 STE 106, Brooklyn Navy Yard 11205",1,Fine Art & Photography,Painting
Joseph Peller Studio aka Dragonfly Studios,"BLDG 5 STE 315, 316, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Painting, Sculpture, Printmaking"
Joseph Sports,"BLDG 131, STE 3H, Brooklyn Navy Yard",2,Apparel & Accessory,"Clothing, Streetwear"
Juan E Gomez,"BLDG 131 STE 202, Brooklyn Navy Yard 11205",1,Fine Art & Photography,Painting
Juanita Berrio Lesmes and Jose Berrio Lesmes,"BLDG 280, STE 824",2,Fine Art & Photography,"Illustration, Graphic Design"
Juice Groove Films,"BLDG 77 STE 1113, Brooklyn Navy Yard 11205",1,Creative Office & Media,"Creative Production Company, Equipment Rental, Post Production, Production Talent - Cinematography, Commercial, Documentary"
Julia Rommel Studio,"BLDG 77 STE 1209, Brooklyn Navy Yard 11205",1,Fine Art & Photography,Painting
Juliana Cerqueira Leite,"BLDG 77 STE 1011, Brooklyn Navy Yard 11205",3,Fine Art & Photography,Sculpture
Julie Ryan,"BLDG 62 STE 206, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Painting, Illustration"
Jumbo,"BLDG 128 STE ?, Brooklyn Navy Yard 11205",0,,"Industry: Services, Artists, & Designers, Sub Industry: Furniture & Home Goods"
Justin Paul aka Campos Bags,"BLDG 3, STE 402, Brooklyn Navy Yard",2,Apparel & Accessory,Bags & Handbags
KaiKai Kiki New York,"BLDG 77, STE 1107",2,Fine Art & Photography,Fine Art & Photography
Kaos Kapital Co aka Fydelity,"BLDG 212, STE 206, Brooklyn Navy Yard",3,Apparel & Accessory,"Small Goods, Novelty, Manufacture high quantity of samples and prototypes on-site"
Kara,,1,"""Hardware, Software, & Design Engineering""",AI-powered sustainability risk management and reporting platform for financial institutions and companies.
Karen Schifano Art,"BLDG 280 STE 803, Brooklyn Navy Yard 11205",1,Fine Art & Photography,Painting
Karlas & Emmas Knits AND Accurate Knitting,"BLDG 3, STE 201, Brooklyn Navy Yard",68,Apparel & Accessory,Clothing
Karol Cylwik Woodworking,"BLDG 3 STE 1111, Brooklyn Navy Yard 11205",2,Furniture & Home Goods,Wood Furniture
Kate Quarfordt,"BLDG 77 STE 1102, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Painting, Collage, Mixed Media"
Kathryn Robinson-Millen Ceramics,"BLDG 131 STE 204, Brooklyn Navy Yard 11205",1,Fine Art & Photography,Sculpture
Keane New York aka Colin Keane Lynch,"BLDG 275, STE 408, Brooklyn Navy Yard",1,Apparel & Accessory,Glass Jewelry
Kelvin Systems Inc. fka Radiator Labs,"BLDG 303, STE 706, Brooklyn Navy Yard, Brooklyn NY 11205",14,Power & Energy,"Radiator Efficiency Devices, Heat Pumps, Sustainable, High volume of prototypes and assembly on-site"
Kestenbaum & Company Inc,"BLDG 77 STE 1221, Brooklyn Navy Yard 11205",0,,"Industry: Services, Artists, & Designers, Sub Industry: Other (Mostly Professional Services)"
KFX Development,,0,,
KFX Technology,"BLDG 77 STE 1204, Brooklyn Navy Yard 11205",2,"""Hardware, Software, & Design Engineering""","Manufacturer of camera remote heads and motorized track systems for Film, TV"
KIC NYC,"BLDG 131, STE 3B, 3C, Brooklyn Navy Yard, Brooklyn NY 11205",2,Apparel & Accessory,"Clothing, Streetwear, Screenprinting, Embroidery, E-commerce Retail"
Kickie Chudikova Studio,"BLDG 128, STE n/a Newlab",1,Fine Art & Photography,"Product Design, Furniture Design"
Kim C Market aka Sulsung Foods,"BLDG 303, STE 709, Brooklyn Navy Yard 11205 Brooklyn NY 11205",3,Food & Beverage,"Specialty - Korean, E-commerce Retail"
Kimmy Quilin,"BLDG 131 STE 3J, Brooklyn Navy Yard 11205",1,Fine Art & Photography,Painting
Kingbridge Cleaners & Tailors,"BLDG 275, STE 101, 209, Brooklyn Navy Yard",5,Apparel & Accessory,"Dry Cleaning, Tailoring"
Kingdom Supercultures aka Imvela Corp,"BLDG 77, STE 907, Brooklyn Navy Yard",3,"""Biotech, Lab, & Medtech""","Bio-based ingredients for supply chains for CPG food, beverage, personal care and beauty industries, Materials Innovation, Sustainability, Life Sciences"
Kings County Distillery,"BLDG 121, 200 STE 101, Outdoor, Brooklyn Navy Yard 11205",6,Food & Beverage,"Whiskey, Distillery, Retail, Event Rental Space, Gatehouses @Sands Street Gate, E-commerce Retail"
Kings County Productions,"BLDG 77 STE 1324C, Brooklyn Navy Yard 11205",2,Creative Office & Media,"Creative Production Company, Production Talent - Cinematography, Editing, Producing"
Kintra Fibers,"BLDG 303, STE 601, Brooklyn Navy Yard",1,"""Biotech, Lab, & Medtech""","Biodegradable Polyester Alternative, Materials Innovation, Sustainability, Life Sciences"
Kirrin Finch,"BLDG 77, STE 1103, 1104, Brooklyn Navy Yard",15,Apparel & Accessory,"Clothing, Suits, Specialty, Menswear for Women, Nonbinary & Trans, Most production in Italy, Founder Speaker, E-commerce Retail"
Kitsby,"BLDG 77 STE 1013, Brooklyn Navy Yard 11205",2,Food & Beverage,"Food Kits, E-commerce Retail"
Kiyan Williams Studio,"BLDG 212 STE 206, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography"
Knowledge Futures,"BLDG 128, STE n/a Newlab",0,,
Konsonant Music + Post aka Thoughts in Grey Circles,"BLDG 62 STE 201, Brooklyn Navy Yard 11205",1,Creative Office & Media,"Music composing and supervision for film, TV, and advertising"
Kubota North American Corporation,BLDG 77 STE 403,1,Food & Beverage,"Indoor farming, showroom, and general executive office"
Kyber Labs,128B,1,,
La Rossi Pizza,"BLDG 152 STE 101, Brooklyn Navy Yard 11205",3,Food & Beverage,"Prepared & Frozen, E-commerce Retail"
Laero LLC,,1,"""Hardware, Software, & Design Engineering""",
Lafayette 148 New York,"BLDG 77, STE 802, 1401, 1501, 1502, Brooklyn Navy Yard, Brooklyn NY 11205",9,Apparel & Accessory,"Womenswear, Accessories, Luxury; Manufacture high quantity of samples on-site, most production in China, E-commerce Retail"
Lara Callahan Corp,"BLDG 77 STE 1220 A, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Photography, Commercial Art, Fashion"
Latewood,"BLDG ? STE ?, Brooklyn Navy Yard 11205",1,Fabrication & Custom Installation (Wood & Metal),Woodworking
Launa Eddy,"BLDG 5 STE 310, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Sculpture, Painting, Drawing, Sets"
Lauren Shooster Studio,"BLDG 77 STE 1306, Brooklyn Navy Yard 11205",1,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography"
Lebogner,"BLDG 3 STE 1006, Brooklyn Navy Yard 11205",1,Transportation,"Auto Accessories Supplier, E-Commerce"
Lectrium,"BLDG 128, STE n/a Newlab",1,Power & Energy,Software; EV Marketplace
Leerform,"182 Stewart Avenue - Brooklyn, New York, 11237

500 Stagg Street - Brooklyn, New York, 11237",4,,"LEERFORM is comprehensive design and fabrication studio dedicated to the creation, preservation, and presentation of cultural objects through innovative materials and techniques.
Our services are tailored to meet the demands of museums, galleries, and artists as they foster connections with their audiences, and cultivate enrichment and engagement with artifacts and art.
With our fully-equipped woodworking and metal fabrication facility, we are uniquely positioned  to offer a diverse range of services, including design, fabrication, installation, and delivery.
LEERFORM takes pride in our adaptability so that the distinctive requirements of our clients are fulfilled. We specialize in delivering top-quality solutions for fabrications, exhibitions, transport, and storage, and our expertise extends to collaborating with contractors, architects, designers, and artists.
Whether a project involves creating custom exhibition furniture, architectural elements, and artwork, or crafting crates, travel frames, and producing casework and pedestals, we collaborate closely with our clients to ensure efficient realization of their vision."
Leeway Home INC.,,0,,
Legacy J Studios,"BLDG 120 STE 206, Brooklyn Navy Yard 11205",1,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography"
Lehigh Portland Cement Company,"BLDG Pier K STE Pier K, Brooklyn Navy Yard 11205",0,,"Industry: Manufacturers & Distributors, Sub Industry: Transportation"
Leon & Sons Wine,Lease terminated in July 2024.,0,,"Industry: Manufacturers & Distributors, Sub Industry: Food & Bev Retail"
Leon McKay and Francesca Pecchenino D/B/A Saint Leo,,1,Furniture & Home Goods,
Leopold Strulovic aka City View Blinds,"BLDG 77, STE 1044",1,Furniture & Home Goods,Window treatments?
Light,"BLDG 128, STE 1044",2,"""Hardware, Software, & Design Engineering""",Smartphone/Hardware
Ligorano Reese,"BLDG 30 STE 102, Brooklyn Navy Yard 11205",2,Fine Art & Photography,"Tech Art, Installation, Video, Public Art"
Lil Sweet Treat,"BLDG 77, STE 604",10,Food & Beverage,Candy Importer and Retailer
Linda Tool,,1,,
Lindsay Walt,"BLDG 30 STE 207, Brooklyn Navy Yard 11205",2,Fine Art & Photography,Painting
Lio & Linn,"BLDG 280 STE 415, Brooklyn Navy Yard 11205",0,,"Industry: Manufacturers & Distributors, Sub Industry: Apparel & Accessory"
Liro-Hill,,0,,Real Estate Fellowship placement business
Lit Brooklyn,"BLDG 77 STE 1008, Brooklyn Navy Yard 11205",1,Furniture & Home Goods,"Candles, Non-toxic, E-commerce Retail"
Little Essentials,"BLDG 131, STE 205, Brooklyn Navy Yard, Brooklyn 11205",8,Education & Nonprofit,"Clothing, Maternity and Baby Goods"
Lorna Simpson Studio dba Shewolf Studio,"BLDG 77 STE 904, 905, Brooklyn Navy Yard 11205",3,Fine Art & Photography,"Photography, High Profile"
Lost and Found Props,"BLDG 212 STE 408, 409, 410, Brooklyn Navy Yard 11205",3,Creative Office & Media,Prop Rental House
Lourdes Industries ,"65 Hoffman Avenue, Hauppauge, New York 11788, United States",1,,"Since 1954 Lourdes Industries has been involved in the manufacture of pneumatic, hydraulic, and fuel components. Today Lourdes is a recognized leader in the broad field of fluid control and monitoring devices. Our expertise spans over six decades of support to the aerospace industry. (More on the website)"
Love Conquers All: All Things Fashion and Beauty,"BLDG 131 STE 3A, Brooklyn Navy Yard 11205",1,,"Industry: Services, Artists, & Designers, Sub Industry: Apparel & Accessory"
LRH212 Studio,,1,Creative Office & Media,"We work with emerging and established brands, designers and institutions to connect people, products and ideas."
Luddite Studio,,1,Fine Art & Photography,Art studio
Luxholdups aka Hey Butler LLC,"BLDG 303 STE 605, Brooklyn Navy Yard 11205",4,Furniture & Home Goods,"Small Home Fixtures and Goods, Specialty - Lucite, E-commerce Retail"
M.E. Woodworking Inc.,"BLDG 275 STE 204, Brooklyn Navy Yard 11205",3,Fabrication & Custom Installation (Wood & Metal),"Woodworking, Millwork, Cabinetry"
M&D Installers,"BLDG 500 STE 101, Outdoors, Brooklyn Navy Yard 11205",1,Fabrication & Custom Installation (Wood & Metal),Doors
Made in NY,,2,,
Made in NY Media Center,,1,,
Maison Wireless aka Shopindomix Inc,"BLDG 77 STE 1310, Brooklyn Navy Yard 11205",1,"""Hardware, Software, & Design Engineering""",Buyer and seller of connected devices and accessories
Malin Ericson Studio,"BLDG 77 STE 1208, Brooklyn Navy Yard 11205",0,Creative Office & Media,"Brand Development, Package Design, Exhibition Design, Commercial"
Man Power Trucking,"BLDG 120 STE 214, Brooklyn Navy Yard 11205",1,Transportation,Trucking for interior decorations and antique stores
Manifold Robotics,"BLDG 128, STE n/a Newlab",1,"""Hardware, Software, & Design Engineering""","Drones/Robots, Hardware"
MARCO BAGA Studio,"BLDG 77, STE 1334, Brooklyn Navy Yard",1,Apparel & Accessory,"Bags, Handbags, E-commerce Retail"
Maria Elena Gonzalez aka MEGE Studio,"BLDG 3 STE 1013, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Sculpture, Installation, Conceptual"
Maribels Sweets,"BLDG 77 STE 1123a, Brooklyn Navy Yard 11205",1,Food & Beverage,"Confectionary, Chocolate, Retail"
Mark Giglio Studio/Carleen Sheehan Studio,"BLDG 30, STE 204",1,Fine Art & Photography,"Decorative Painting, Residential Interiors, Commercial Art"
Mark Uriu Design aka Uriu Nuance,"BLDG 3, STE 408, Brooklyn Navy Yard",1,Architecture & Design,"Interior Design, Residential, Finishes, Artisan Painter Management"
Martine's Wines aka Eight Bottles,"BLDG 77 STE 1010, Brooklyn Navy Yard 11205",1,Food & Beverage,"Industry: Manufacturers & Distributors, Sub Industry: Food & Bev"
Mason Nye Murals,"BLDG 30 STE 101, Brooklyn Navy Yard 11205",2,Fine Art & Photography,"Muralist, Decorative Painting, Commercial and Residential"
Matt Harrington Photography,"BLDG 50A STE 101, Brooklyn Navy Yard 11205",1,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography"
Matter Architecture Practice,"BLDG 280, STE 508, Brooklyn Navy Yard",1,Architecture & Design,"Architectural & Urban Design, Exhibition Design, Sustainability"
Matter Made aka Lux & Product,"BLDG 77 STE 606, Brooklyn Navy Yard 11205",0,,"Industry: Manufacturers & Distributors, Sub Industry: Furniture & Homegoods"
Matthew Grandin Custom Fabrication,"BLDG 280 STE 415, Brooklyn Navy Yard 11205",1,Fabrication & Custom Installation (Wood & Metal),Industrial design/Decor
Mattison Millworks,"BLDG 5 STE 303, Brooklyn Navy Yard 11205",1,Fabrication & Custom Installation (Wood & Metal),Energy-Efficient; Windows; Doors
Max Amato LLC,BLDG 77 STE 1224,1,Creative Office & Media,Graphic Design Studio
Melissa Dubbin & Aaron S. Davidson Studio,"BLDG 3 STE 409, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Scuplture, Conceptual, Biological and Mechanical Materials"
Melissa Wagner aka Wagner Creative,"BLDG 30, STE ",0,Fine Art & Photography,Artist Studio & Boutique marketing agency - focus on women & design
Metafactory,"BLDG 77 STE 1307, Brooklyn NY",1,,"New GBMI subtenant in November 2024. 

Storage and fulfillment.	"
Metalform Studio,"BLDG 280 STE 409, 611, 612, 613AA, 616, 617, 618, 619, 620, Brooklyn Navy Yard 11205",2,Fabrication & Custom Installation (Wood & Metal),Architectural Metalwork
Method Media,"BLDG 77 STE 1321, Brooklyn Navy Yard 11205",1,Creative Office & Media,"Creative Production Company, Production Talent - Cinematography, Editing, Producing"
MFactory,"147 41st Street
Brooklyn NY 11232",5,,Produces eyeglasses. Off the Yard. CNC trainings.
Michael Asente,"BLDG 30 STE 205, Brooklyn Navy Yard 11205",1,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography

Tenant noted executed a Lease Renewal in June 2024 with Monique Luchetti."
Michael H Berkowitz,"BLDG 275, STE 410",1,Apparel & Accessory,"Lease amendment (renewal & extension) notice in September 2024.

Industry: Services, Artists, & Designers, Sub Industry: Apparel & Accessory"
Michelle Green Sculpture aka Metal Fabrication,"BLDG 280 STE 613, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Sculpture, Metalwork, Welding"
Michelle Rosenberg Design,"BLDG 280 STE 610, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Sculpture, Object Work"
MILFDAD,"BLDG 77, STE 1307, Brooklyn Navy Yard",1,Apparel & Accessory,"Shipping and receiving, clothing brand storage and office, photography"
Millie Benson Projects,"BLDG 77 STE 1304, Brooklyn Navy Yard 11205",1,Fine Art & Photography,Painting
Mimic,"BLDG 128, STE n/a Newlab",1,,
